Name,Ticker,"Sub-Sector","Market Cap","Close Price","RSI – 14D","% Away From 52W High",,
ICICI Bank Limited,ICICIBANK,"Private Banks","1025902.3145070401","1419.6","46.021505376344","4.254719639335036",,
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","455013.765388","5082","76.8575851393188","1.6922471467925915",,
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","328301.6475","5059.9","77.1442495126705","1.7786912784837572",,
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","321987.6569846","11720","68.2406702208682","1.220136518771331",,
JSW Steel Limited,JSWSTEEL,"Iron & Steel","313275.14578152","1282","54.5807884508606","4.134165366614662",,
Shriram Finance Limited,SHRIRAMFIN,"Consumer Finance","265859.64412261","1125.3","62.3824451410659","2.5237714387274623",,
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","227732.221353","8540","78.2732447817837","1.5690866510538637",,
Grasim Industries Ltd,GRASIM,"Cement","225323.70710682002","3250","60.9928077845156","4.956923076923081",,
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","219598.024","8064.5","65.5274261603376","2.052204104408206",,
TVS Motor Company Limited,TVSMOTOR,"Two Wheelers","210984.6690388","4366","76.1247877758913","2.496564360971143",,
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","178251.61981590601","168.45","81.5388397246805","2.107450281982781",,
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","171579.09686584","1667.3","62.8666666666667","2.4110837881605063",,
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","169849.833235","19990","48.2717041800643","2.051025512756377",,
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","163494.15278223998","1885.9","68.0760279286268","3.53147038549233",,
ABB India Ltd,ABB,"Heavy Electrical Equipments","161294.05963125","7685.5","59.7253266380501","3.1097521306356235",,
Siemens Ltd,SIEMENS,"Conglomerates","142839.9345555","3960","77.049670855775","3.4823232323232256",,
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","140327.1532065","432","37.8280542986425","3.356481481481488",,
Bosch Ltd,BOSCHLTD,"Auto Parts","133278.12785","47000","69.9944842801986","1.553191489361705",,
